uf_codigo_ibge, ano, esfera, poder,quantidade_de_vinculos
21,2016,Municipal,Executivo,193001
21,2016,Municipal,Legislativo,2112
21,2017,Estadual,Executivo,66311
21,2017,Estadual,Judiciário,6482
21,2017,Estadual,Legislativo,2989
21,2017,Federal,Executivo,10284
21,2017,Federal,Judiciário,1878
21,2017,Federal,Legislativo,0
21,2017,Municipal,Executivo,209269
21,2017,Municipal,Legislativo,2401
21,2018,Estadual,Executivo,70566
21,2018,Estadual,Judiciário,7120
21,2018,Estadual,Legislativo,3076
21,2018,Federal,Executivo,10020
21,2018,Federal,Judiciário,1871
21,2018,Federal,Legislativo,0
21,2018,Municipal,Executivo,228250
21,2018,Municipal,Legislativo,4292
21,2019,Estadual,Executivo,74089
21,2019,Estadual,Judiciário,5549
21,2019,Estadual,Legislativo,3530
21,2019,Federal,Executivo,10083
21,2019,Federal,Judiciário,1825
21,2019,Federal,Legislativo,0
21,2019,Municipal,Executivo,234694
21,2019,Municipal,Legislativo,5589
22,2012,Estadual,Executivo,66328
22,2012,Estadual,Judiciário,3459
22,2012,Estadual,Legislativo,1826
22,2012,Federal,Executivo,7998
22,2012,Federal,Judiciário,1353
22,2012,Federal,Legislativo,0
22,2012,Municipal,Executivo,91237
22,2012,Municipal,Legislativo,1358
22,2013,Estadual,Executivo,64498
22,2013,Estadual,Judiciário,3238
22,2013,Estadual,Legislativo,1799
22,2013,Federal,Executivo,8303
22,2013,Federal,Judiciário,1300
22,2013,Federal,Legislativo,0
22,2013,Municipal,Executivo,99620
22,2013,Municipal,Legislativo,1239
22,2014,Estadual,Executivo,61510
22,2014,Estadual,Judiciário,3277
22,2014,Estadual,Legislativo,5236
22,2014,Federal,Executivo,9082
22,2014,Federal,Judiciário,1414
22,2014,Federal,Legislativo,0
22,2014,Municipal,Executivo,100280
22,2014,Municipal,Legislativo,1192
22,2015,Estadual,Executivo,59765
22,2015,Estadual,Judiciário,3215
22,2015,Estadual,Legislativo,5990
22,2015,Federal,Executivo,8592
22,2015,Federal,Judiciário,1358
22,2015,Federal,Legislativo,0
22,2015,Municipal,Executivo,103041
22,2015,Municipal,Legislativo,1255
22,2016,Estadual,Executivo,59435
22,2016,Estadual,Judiciário,3356
22,2016,Estadual,Legislativo,5728
22,2016,Federal,Executivo,8854
22,2016,Federal,Judiciário,1454
22,2016,Federal,Legislativo,0
22,2016,Municipal,Executivo,104127
22,2016,Municipal,Legislativo,1704
22,2017,Estadual,Executivo,59044
22,2017,Estadual,Judiciário,3657
22,2017,Estadual,Legislativo,5759
22,2017,Federal,Executivo,8819
22,2017,Federal,Judiciário,1438
22,2017,Federal,Legislativo,0
22,2017,Municipal,Executivo,110112
22,2017,Municipal,Legislativo,2241
22,2018,Estadual,Executivo,57956
22,2018,Estadual,Judiciário,3634
22,2018,Estadual,Legislativo,5804
22,2018,Federal,Executivo,8808
22,2018,Federal,Judiciário,1508
22,2018,Federal,Legislativo,0
22,2018,Municipal,Executivo,113267
22,2018,Municipal,Legislativo,2900
22,2019,Estadual,Executivo,57545
22,2019,Estadual,Judiciário,3944
22,2019,Estadual,Legislativo,6129
22,2019,Federal,Executivo,8899
22,2019,Federal,Judiciário,1446
22,2019,Federal,Legislativo,0
22,2019,Municipal,Executivo,115239
22,2019,Municipal,Legislativo,3382
23,2012,Estadual,Executivo,99439
23,2012,Estadual,Judiciário,5270
23,2012,Estadual,Legislativo,6743
23,2012,Federal,Executivo,20064
23,2012,Federal,Judiciário,3214
23,2012,Federal,Legislativo,0
23,2012,Municipal,Executivo,326432
23,2012,Municipal,Legislativo,4737
23,2013,Estadual,Executivo,108378
23,2013,Estadual,Judiciário,5285
23,2013,Estadual,Legislativo,7338
23,2013,Federal,Executivo,20761
23,2013,Federal,Judiciário,2921
23,2013,Federal,Legislativo,0
23,2013,Municipal,Executivo,374687
23,2013,Municipal,Legislativo,4224
23,2014,Estadual,Executivo,111300
23,2014,Estadual,Judiciário,5429
23,2014,Estadual,Legislativo,5560
23,2014,Federal,Executivo,21485
23,2014,Federal,Judiciário,3352
23,2014,Federal,Legislativo,0
23,2014,Municipal,Executivo,354556
23,2014,Municipal,Legislativo,4268
23,2015,Estadual,Executivo,115461
23,2015,Estadual,Judiciário,5815
23,2015,Estadual,Legislativo,6491
23,2015,Federal,Executivo,20826
23,2015,Federal,Judiciário,3093
23,2015,Federal,Legislativo,0
23,2015,Municipal,Executivo,357141
23,2015,Municipal,Legislativo,5049
23,2016,Estadual,Executivo,114520
23,2016,Estadual,Judiciário,5703
23,2016,Estadual,Legislativo,5997
23,2016,Federal,Executivo,20697
23,2016,Federal,Judiciário,3411
23,2016,Federal,Legislativo,0
23,2016,Municipal,Executivo,349577
23,2016,Municipal,Legislativo,4560
23,2017,Estadual,Executivo,109095
23,2017,Estadual,Judiciário,6356
23,2017,Estadual,Legislativo,7546
23,2017,Federal,Executivo,21787
23,2017,Federal,Judiciário,3131
23,2017,Federal,Legislativo,0
23,2017,Municipal,Executivo,375518
23,2017,Municipal,Legislativo,5147
23,2018,Estadual,Executivo,110951
23,2018,Estadual,Judiciário,6156
23,2018,Estadual,Legislativo,6755
23,2018,Federal,Executivo,21180
23,2018,Federal,Judiciário,3331
23,2018,Federal,Legislativo,0
23,2018,Municipal,Executivo,360683
23,2018,Municipal,Legislativo,5072
23,2019,Estadual,Executivo,110422
23,2019,Estadual,Judiciário,6458
23,2019,Estadual,Legislativo,7727
23,2019,Federal,Executivo,21874
23,2019,Federal,Judiciário,3090
23,2019,Federal,Legislativo,0
23,2019,Municipal,Executivo,370053
23,2019,Municipal,Legislativo,5284
24,2012,Estadual,Executivo,68005
24,2012,Estadual,Judiciário,2962
24,2012,Estadual,Legislativo,2539
24,2012,Federal,Executivo,16248
24,2012,Federal,Judiciário,1981
24,2012,Federal,Legislativo,0
24,2012,Municipal,Executivo,122278
24,2012,Municipal,Legislativo,3281
24,2013,Estadual,Executivo,64208
24,2013,Estadual,Judiciário,3251
24,2013,Estadual,Legislativo,2617
24,2013,Federal,Executivo,17413
24,2013,Federal,Judiciário,1871
24,2013,Federal,Legislativo,0
24,2013,Municipal,Executivo,128484
24,2013,Municipal,Legislativo,3312
24,2014,Estadual,Executivo,61701
24,2014,Estadual,Judiciário,3241
24,2014,Estadual,Legislativo,1713
24,2014,Federal,Executivo,18645
24,2014,Federal,Judiciário,2088
24,2014,Federal,Legislativo,0
24,2014,Municipal,Executivo,128079
24,2014,Municipal,Legislativo,3619
24,2015,Estadual,Executivo,60546
24,2015,Estadual,Judiciário,3671
24,2015,Estadual,Legislativo,3490
24,2015,Federal,Executivo,18212
24,2015,Federal,Judiciário,1921
24,2015,Federal,Legislativo,0
24,2015,Municipal,Executivo,114382
24,2015,Municipal,Legislativo,3869
24,2016,Estadual,Executivo,57749
24,2016,Estadual,Judiciário,3562
24,2016,Estadual,Legislativo,2630
24,2016,Federal,Executivo,18035
24,2016,Federal,Judiciário,2011
24,2016,Federal,Legislativo,0
24,2016,Municipal,Executivo,129304
